Yr;Mo;Dy;Hr:Mi;Lat;Lon;Z;Mag;A;Strike1;Dip1;Rake1;Strike2;Dip2;Rake2;Pazim;Pdip;Tazim;Tdip;Q;Type;Loc;Lit;;;;;;;;;;
2019;11;5;00:54;46.318;7.366;5;3.3;1;53;77;159;148;70;14;102;5;10;24;1;SS;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;5;03:36;46.318;7.362;5;3.3;1;62;58;152;168;67;35;293;6;28;41;2;SS;ANZ; Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;5;05:55;46.319;7.355;5;2.5;1;274;71;-165;179;76;-20;136;24;228;3;2;SS;ANZ; Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;5;06:00;46.319;7.357;5;2.9;1;272;69;-153;172;65;-23;133;33;41;2;2;SS;ANZ; Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;5;07:18;46.325;7.363;5;3;1;58;68;132;171;46;31;119;13;14;49;2;OT;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;5;07:47;46.321;7.369;5;2.8;1;50;64;128;168;45;38;113;11;7;54;2;OT;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;5;08:54;46.321;7.353;5;2.5;1;263;82;-156;170;66;-9;129;22;34;11;2;SS;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;5;19:21;46.319;7.357;6;2.8;1;87;81;149;182;59;10;138;15;40;28;1;OT;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;5;19:51;46.317;7.361;5;3.2;1;60;56;136;178;55;43;120;1;28;53;1;OT;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;5;19:52;46.324;7.355;5;2.5;1;279;82;-145;183;55;-10;147;30;46;18;2;ON;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;5;20:06;46.321;7.36;5;2.6;0;208;28;84;35;62;93;123;17;311;72;1;TF;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;5;20:10;46.322;7.359;5;2.6;1;272;69;-141;166;54;-26;135;42;36;10;2;ON;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;7;18:35;46.317;7.355;4;3.2;1;260;73;-163;165;74;-18;123;24;213;1;2;SS;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;7;18:38;46.323;7.348;5;2.5;1;269;65;-155;167;67;-27;127;35;219;2;2;SS;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;11;19:35;46.326;7.367;5;2.7;1;50;59;139;165;55;38;108;2;15;50;2;OT;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;12;13:43;46.324;7.371;5;1.9;1;296;89;-164;206;74;-1;162;12;70;11;2;SS;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;11;12;14:36;46.327;7.366;5;2.7;1;252;73;-161;156;72;-18;114;25;24;1;1;SS;ANZ;Anzere;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
