Yr;Mo;Dy;Hr:Mi;Lat;Lon;Z;Mag;A;Strike1;Dip1;Rake1;Strike2;Dip2;Rake2;Pazim;Pdip;Tazim;Tdip;Q;Type;Loc;Lit;;;;;;;;;;
2015;6;20;10:30;46.26;7.404;9;3.1;1;87;85;176;177;86;5;312;1;42;6;1;SS;STL;St-Leonard;[53];;;;;;;;;
2016;5;21;03:49;46.258;7.407;8;2.9;1;99;85;178;189;88;5;324;2;54;5;2;SS;STL;St-Leonard;[53];;;;;;;;;
2016;6;24;04:12;46.262;7.402;8;3.2;1;278;83;-149;184;59;-8;145;27;47;16;1;SS;STL;St-Leonard;[53];;;;;;;;;
2016;11;25;18:29;46.26;7.403;8;2.7;1;70;61;137;184;53;37;129;5;33;50;1;TS;STL;St-Leonard;[53];;;;;;;;;
2017;2;18;13:22;46.26;7.402;8;2.1;1;262;88;-180;172;90;-2;127;2;217;2;2;SS;STL;St-Leonard;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2017;11;3;18:04;46.264;7.402;8;2.8;1;278;69;-158;180;69;-22;139;30;49;0;1;SS;STL;St-Leonard;[54];;;;;;;;;
2018;11;23;00:52;46.262;7.403;8;2.5;2;189;64;-2;280;88;-154;148;20;52;17;1;SS;STL;St-Leonard;[54];;;;;;;;;
2019;8;14;03:22;46.257;7.398;8;2;1;88;79;176;178;87;11;312;5;43;10;1;SS;STL;St-Leonard;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2019;9;25;06:50;46.262;7.395;8;2;1;268;75;-172;176;82;-15;132;16;223;5;2;SS;STL;St-Leonard;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2021;4;22;20:42;46.262;7.392;7;2.3;1;275;82;-169;183;79;-8;139;13;49;2;2;SS;STL;St-Leonard;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
2021;5;18;10:21;46.259;7.392;8;2.8;1;273;78;-168;180;78;-12;137;17;227;0;1;SS;STL;St-Leonard;[PREVIOUSLY UNPUBLISHED];;;;;;;;;
