ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	MI	SC	MAG	NCCP	NCCS	NCTP	NCTS	RCC	RCT	CID	maxhor-m	minhor-m	maxazi
201401031	46.263871	7.397911	7.079	252.2	1.4	372.1	2.2	3.2	19.7	2014	1	10	4	46	48.01	1.6	1345	1705	410	272	0.004	0.029	1	7.5	2.2	31.6
201401066	46.263904	7.39826	7.085	279.2	5	378.3	2.2	3.2	20.2	2014	1	19	5	24	27.05	0.9	1055	1506	227	175	0.003	0.026	1	7.5	2.4	32.4
201402047	46.263806	7.398525	7.139	299.5	-5.9	432	2.2	3.3	21.3	2014	2	21	4	5	27.24	0.4	446	619	66	77	0.003	0.021	1	7.6	2.6	30.5
201404006	46.26394	7.399035	7.071	338.8	9	364.3	2.4	3.3	21.5	2014	4	2	17	5	28.42	0.4	397	567	73	83	0.002	0.021	1	7.6	2.9	32.5
201404125	46.263867	7.398527	7.057	299.7	0.9	350.3	2.2	3.4	20.5	2014	4	20	22	41	46.32	1	601	675	103	96	0.003	0.019	1	7.7	2.6	29.7
201405055	46.263871	7.398687	7.079	312	1.4	372.2	2.3	3.2	20	2014	5	13	4	46	13.07	1	573	1196	151	83	0.004	0.036	1	7.5	2.4	32.8
201410144	46.263741	7.39901	7.145	336.9	-13.1	437.8	2.8	3.5	21.1	2014	10	29	20	38	55.92	0.6	563	484	94	83	0.003	0.021	1	8.4	3.3	36.7
201506059	46.263973	7.398089	7.054	265.9	12.7	347.4	2.2	3.3	19.7	2015	6	20	10	30	22.89	3.1	1429	1657	279	187	0.005	0.042	1	7.6	2.4	32
201508073	46.264083	7.397023	7.087	183.7	24.9	379.9	2.2	3.3	20	2015	8	31	0	17	30.94	0.9	1297	2035	188	150	0.004	0.029	1	7.6	2.4	32.1
201509043	46.264058	7.398119	6.987	268.2	22.2	279.7	2.3	3.2	19.9	2015	9	13	11	29	9.55	0.8	620	1598	135	108	0.004	0.024	1	7.5	2.4	32.6
201510019	46.264233	7.396658	7.045	155.6	41.6	338.5	2.3	3.3	19.9	2015	10	6	19	53	42.56	0.7	1384	1797	230	231	0.003	0.03	1	7.7	2.4	31.9
201510021	46.264274	7.396485	7.015	142.3	46.1	307.9	2.3	3.3	20.1	2015	10	6	22	42	50.42	0.2	927	993	150	130	0.003	0.035	1	7.6	2.5	32.3
201510022	46.264347	7.396041	7.039	108	54.3	332.4	2.3	3.3	19.9	2015	10	7	0	10	36.36	0.3	850	1144	201	152	0.003	0.028	1	7.7	2.4	32.9
201510023	46.264217	7.396397	7.065	135.5	39.8	358	2.2	3.2	20.2	2015	10	7	7	42	48.69	0.7	1171	1373	216	181	0.003	0.03	1	7.5	2.3	32.8
201510024	46.264132	7.396777	7.076	164.8	30.3	368.9	2.2	3.2	19.8	2015	10	7	8	32	12.2	1.1	1517	1916	232	200	0.004	0.027	1	7.5	2.4	31.9
201510028	46.264124	7.396638	7.086	154.1	29.4	379.1	2.3	3.3	20.4	2015	10	7	13	54	0.18	0.4	861	1049	169	131	0.003	0.022	1	7.6	2.4	33.1
201510030	46.264148	7.39666	7.08	155.8	32.1	373.4	2.2	3.2	19.9	2015	10	8	2	5	52.01	1.9	1999	2335	375	253	0.004	0.028	1	7.4	2.3	31.7
201510042	46.26427	7.395979	7.089	103.3	45.7	382.1	2.3	3.3	19.9	2015	10	12	20	20	29.16	0.7	1401	1814	221	169	0.004	0.024	1	7.7	2.2	33.3
201510043	46.264136	7.396505	7.112	143.8	30.8	405.3	2.2	3.3	20.1	2015	10	12	21	39	44.28	0.6	1032	1656	186	148	0.003	0.031	1	7.6	2.4	32.1
201510046	46.264026	7.398629	6.995	307.5	18.5	287.7	2.4	3.2	21	2015	10	13	17	36	33.28	0.4	898	746	95	85	0.003	0.023	1	7.6	2.6	34.2
201510066	46.264115	7.39764	6.962	231.4	28.5	254.7	2.2	3.1	19.9	2015	10	15	1	33	31.84	0.6	1405	1564	176	152	0.003	0.021	1	7.3	2.3	32.6
201510068	46.264083	7.39793	6.958	253.7	24.9	250.7	2.2	3.2	20	2015	10	15	17	2	10.04	2.2	2139	2077	448	317	0.004	0.031	1	7.4	2.2	32.8
201510082	46.263981	7.398914	6.991	329.5	13.6	284.3	2.1	3.2	20.1	2015	10	20	20	59	52.96	1	1693	2041	316	226	0.004	0.028	1	7.4	2.2	30.5
201510106	46.264237	7.396637	6.952	154	42.1	245.2	2.3	3.1	19.9	2015	10	27	2	0	11.33	0.5	1005	1151	173	143	0.003	0.02	1	7.4	2.5	33.5
201510107	46.264132	7.397471	6.936	218.3	30.3	228.7	2.2	3.2	20	2015	10	27	16	35	43.63	0.4	257	320	61	73	0.003	0.02	1	7.3	2.8	31.2
201510115	46.264079	7.396793	7.095	166	24.4	388.1	2.2	3.3	20.3	2015	10	30	16	47	22.96	0.6	1052	1094	193	160	0.003	0.024	1	7.6	2.3	31.6
201511008	46.264689	7.394244	7.075	-30.5	92.3	367.9	2.3	3.2	20.4	2015	11	2	21	34	42.92	0.4	852	994	144	119	0.003	0.028	1	7.6	2.4	33.7
201511014	46.264095	7.398206	6.991	274.9	26.2	283.8	2.2	3.3	20.1	2015	11	4	19	9	7.18	0.6	1068	1195	149	119	0.003	0.021	1	7.5	2.5	31
201511015	46.26405	7.39855	6.997	301.5	21.3	290.5	2.2	3.2	20.1	2015	11	4	19	18	17.02	0.6	1282	1705	184	161	0.004	0.025	1	7.5	2.2	32.8
201511035	46.264136	7.396422	7.112	137.4	30.8	405.6	2.2	3.2	20.2	2015	11	9	3	47	36.95	0.5	1322	1545	200	154	0.003	0.021	1	7.5	2.2	32.4
201511038	46.264355	7.395984	7.043	103.7	55.2	336	2.3	3.2	20.2	2015	11	9	15	2	41.75	0.8	1138	1501	190	165	0.003	0.019	1	7.4	2.5	33.2
201511039	46.264518	7.39526	7.034	47.8	73.3	327.6	2.3	3.3	20.2	2015	11	9	18	28	26.98	0.4	996	988	140	99	0.003	0.022	1	7.7	2.5	33.5
201511040	46.2646	7.394845	7.042	15.8	82.3	335.1	2.3	3.2	19.8	2015	11	9	20	11	21.26	0.7	1297	1870	201	157	0.003	0.024	1	7.6	2.2	32.8
201511041	46.264587	7.394886	7.037	19	81	330.1	2.2	3.3	20.1	2015	11	9	20	29	30.32	0.9	1462	1969	201	162	0.003	0.025	1	7.6	2.2	31.2
201511042	46.2644	7.39574	7.009	84.8	60.2	302.5	2.3	3.2	20	2015	11	9	20	34	31.44	0.3	948	737	89	72	0.003	0.026	1	7.5	2.4	34.1
201511043	46.264103	7.395394	7.008	58.2	27.1	300.6	2.4	3.2	21.8	2015	11	9	20	34	33.68	0.6	291	448	97	76	0.002	0.018	1	7.7	2.6	35.2
201511044	46.264677	7.394351	7.048	-22.2	90.9	340.7	2.3	3.3	20.4	2015	11	9	20	36	3.56	0.4	842	997	100	103	0.003	0.024	1	7.7	2.5	32.6
201511045	46.264445	7.395486	7.021	65.2	65.1	314.4	2.3	3.4	20.3	2015	11	9	21	41	6.9	0.6	1174	1495	223	195	0.003	0.023	1	7.8	2.4	31.5
201511067	46.263928	7.397611	7.141	229.1	7.7	433.9	2.2	3.3	20	2015	11	13	14	30	36.3	1.6	1593	1547	282	199	0.004	0.025	1	7.6	2.4	31
201511068	46.264038	7.39686	7.1	171.2	19.9	393.2	2.2	3.3	19.9	2015	11	13	15	9	4.1	1.8	1852	2107	212	139	0.004	0.029	1	7.6	2.3	31.8
201511112	46.26366	7.399052	7.125	340.2	-22.2	418.1	2.4	3.4	20.1	2015	11	26	15	26	52.07	1.7	1285	1080	279	167	0.005	0.027	1	8	2.4	32.4
201512021	46.26416	7.39643	7.113	138.1	33.5	405.8	2.3	3.3	20.4	2015	12	7	13	11	47.85	0.6	968	1135	172	117	0.003	0.022	1	7.7	2.5	32
201512056	46.263916	7.397818	7.076	245	6.3	369.2	2.3	3.4	20.5	2015	12	11	14	13	57.74	0.5	812	700	95	79	0.003	0.023	1	7.8	2.5	32.1
201512057	46.264058	7.397198	7.061	197.2	22.2	354.1	2.2	3.4	20.7	2015	12	11	14	59	37.8	0.6	1101	1141	145	114	0.003	0.025	1	7.8	2.3	31.1
201512081	46.26392	7.397439	7.134	215.8	6.8	427.6	2.2	3.4	20.1	2015	12	22	1	11	21.34	0.8	1477	1585	295	199	0.004	0.03	1	7.7	2.5	30.5
201601034	46.263965	7.398369	6.915	287.5	11.8	208.2	2.2	3.3	20.1	2016	1	10	12	3	54.41	0.6	923	943	132	89	0.004	0.024	1	7.5	2.5	31.7
201601035	46.263965	7.398529	6.939	299.8	11.8	232.1	2.2	3.2	20	2016	1	10	13	24	55.62	0.9	1273	1488	221	143	0.004	0.027	1	7.4	2.3	31.8
201601043	46.263969	7.397141	7.131	192.8	12.2	424.2	2.3	3.2	20	2016	1	13	18	57	58.8	0.8	1329	1362	372	292	0.004	0.03	1	7.5	2.4	32.7
201601077	46.263717	7.397397	7.219	212.6	-15.8	512.6	2.2	3.3	20.1	2016	1	26	4	41	31.04	1.8	1910	1715	298	161	0.004	0.03	1	7.6	2.2	32.4
201605038	46.264392	7.395374	6.987	56.6	59.3	280.4	2.3	3.1	19.8	2016	5	10	10	16	49.12	0.4	784	855	60	57	0.003	0.016	1	7.4	2.4	33.9
201605039	46.264396	7.395253	6.945	47.3	59.7	238.1	2.3	3.2	20.2	2016	5	10	12	23	1.13	0.9	908	1130	58	59	0.004	0.029	1	7.5	2.4	33.2
201605040	46.26449	7.394714	6.987	5.8	70.1	280	2.2	3.1	19.8	2016	5	10	21	3	5.76	0.7	1202	1653	149	133	0.003	0.023	1	7.3	2.4	33.4
201605045	46.264311	7.396081	6.933	111.1	50.2	226	2.2	3.2	19.9	2016	5	11	15	47	39.94	1.1	1491	2148	173	118	0.004	0.025	1	7.5	2.3	32.1
201605046	46.264343	7.396016	6.911	106.1	53.8	204.4	2.3	3.2	19.9	2016	5	11	15	57	19.08	0.5	1147	1505	123	162	0.004	0.024	1	7.6	2.3	32.8
201605048	46.264335	7.396033	6.899	107.4	52.9	192.2	2.2	3.1	19.9	2016	5	12	12	12	7.11	1.1	1349	2053	137	115	0.004	0.025	1	7.3	2.3	32.4
201605049	46.264246	7.396642	6.939	154.4	43	232.1	2.2	3.6	19.9	2016	5	12	12	15	5.73	0.7	580	573	77	61	0.003	0.019	1	7.8	3.5	24.3
201605061	46.264591	7.394442	7.008	-15.2	81.4	301	2.3	3.2	20.1	2016	5	15	13	19	59.12	1.3	1541	1789	242	155	0.003	0.031	1	7.6	2.5	33.2
201605069	46.264388	7.395939	7.045	100.2	58.8	338.2	2.2	3.3	20.1	2016	5	18	19	16	48.22	0.7	1084	1626	121	99	0.003	0.021	1	7.6	2.3	32.2
201605070	46.264294	7.39651	7.015	144.2	48.4	307.6	2.2	3.2	20	2016	5	18	20	31	23.56	1.4	1850	2179	316	175	0.004	0.027	1	7.5	2.3	31.7
201605081	46.264213	7.397049	6.976	185.8	39.3	268.8	2.2	3.2	19.9	2016	5	21	3	33	11.75	0.4	1206	1289	94	79	0.003	0.033	1	7.5	2.4	32.3
201605082	46.264303	7.396295	6.97	127.6	49.3	263.1	2.2	3.2	20	2016	5	21	3	49	38.18	2.9	1868	1847	476	360	0.005	0.044	1	7.4	2.4	31.9
201605094	46.264063	7.398155	6.952	271	22.6	245.2	2.1	3.2	20.1	2016	5	27	0	5	10.32	0.5	1205	1365	149	93	0.003	0.029	1	7.3	2.4	31.1
201605096	46.264661	7.394291	7.119	-26.9	89.1	412.3	2.3	3.2	19.7	2016	5	27	22	9	43.1	1.4	1848	2173	379	296	0.004	0.026	1	7.5	2.4	32.8
201605097	46.264693	7.394022	7.107	-47.6	92.7	399.8	2.3	3.3	20	2016	5	28	11	57	16.6	1.5	1810	2258	372	310	0.004	0.027	1	7.6	2.4	32.6
201605098	46.264547	7.394892	7.088	19.5	76.4	381.4	2.3	3.3	20	2016	5	28	12	16	42.48	1	1354	1829	197	194	0.004	0.022	1	7.7	2.4	32
201605101	46.264726	7.393907	7.155	-56.5	96.3	448.2	2.3	3.3	20.2	2016	5	28	23	49	8.68	1.7	2103	2215	433	313	0.004	0.033	1	7.7	2.3	33.1
201605102	46.264482	7.394814	7.149	13.4	69.2	442.4	2.4	3.2	20.1	2016	5	28	23	59	48.64	1	1256	1117	325	218	0.003	0.024	1	7.6	2.5	33.6
201605103	46.264657	7.394119	7.174	-40.1	88.7	467	2.3	3.2	20	2016	5	29	10	55	54.46	0.9	1434	1747	168	170	0.004	0.023	1	7.6	2.3	33.5
201605104	46.264628	7.394358	7.144	-21.7	85.5	437.3	2.3	3.2	20.1	2016	5	29	10	56	7.32	0.6	928	1243	89	127	0.003	0.021	1	7.6	2.4	33.5
