ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	MI	SC	MAG	NCCP	NCCS	NCTP	NCTS	RCC	RCT	CID
201901126	46.325675	7.379412	0.673	1813.3	396.2	-3616.2	58.2	90.9	274.2	2019	1	22	19	50	50.88	0.2	3	7	36	31	0.002	0.022	1
201902029	46.313586	7.340806	3.322	-1159.9	-947.6	-967.5	43.1	12.1	26.9	2019	2	7	5	57	53.95	0.4	494	1	46	32	0.002	0.032	1
201903023	46.3165	7.335268	4.494	-1586.3	-623.7	205.1	21.3	14.9	29.3	2019	3	8	14	49	15.85	0.6	125	44	78	48	0.003	0.037	1
201903025	46.316243	7.335655	4.571	-1556.6	-652.2	281.4	23.2	13.5	28.5	2019	3	8	15	54	30.51	0.3	175	57	66	52	0.003	0.024	1
201903027	46.315873	7.335478	4.577	-1570.2	-693.4	288.1	23.5	14.3	28.8	2019	3	8	20	44	16.28	0.1	99	38	61	47	0.003	0.026	1
201903028	46.315678	7.335188	4.569	-1592.5	-715.1	279.6	25.2	14.9	30	2019	3	8	22	24	41.2	2	201	80	116	74	0.003	0.035	1
201903029	46.316524	7.335315	4.497	-1582.7	-621	208.2	21.6	14.9	29.4	2019	3	8	22	29	47.64	0.2	110	55	80	48	0.002	0.028	1
201903030	46.316394	7.33598	4.573	-1531.5	-635.5	283.4	22.2	13.3	25.9	2019	3	8	22	35	23.38	0.3	212	86	89	60	0.003	0.027	1
201903031	46.316256	7.335131	4.515	-1596.9	-650.9	225.7	21.7	14	29	2019	3	8	22	38	28.08	0.8	244	60	105	63	0.003	0.028	1
201903032	46.316614	7.336486	4.575	-1492.5	-611.1	285.6	22	13.8	26.2	2019	3	9	0	42	1.86	0.8	217	80	132	60	0.003	0.031	1
201903033	46.316309	7.335887	4.574	-1538.7	-645	284.5	22.3	13.5	26.8	2019	3	9	0	53	17.21	0.5	246	93	99	64	0.003	0.029	1
201903039	46.316406	7.336575	4.593	-1485.7	-634.1	304.3	23.2	14.2	27.3	2019	3	9	16	6	24.22	0.2	163	52	54	42	0.003	0.04	1
201903118	46.315678	7.336738	0.874	-1473.2	-715.1	-3415.4	125.6	179.6	297.5	2019	3	22	22	59	47.04	0.4	301	1	64	25	0.001	0.034	1
201903135	46.314502	7.350537	4.352	-410.4	-845.8	62.6	20.1	14.1	44.5	2019	3	27	12	52	6.16	0.4	471	84	37	44	0.002	0.028	1
201904047	46.313578	7.329092	5.696	-2062.1	-948.5	1406.4	127	135.6	127.4	2019	4	8	17	33	49.48	0.5	108	1	66	31	0.003	0.039	1
201904048	46.312	7.330949	5.47	-1919.1	-1124	1180.8	119.6	69.1	228.1	2019	4	8	19	24	32.08	0.8	28	14	101	60	0.003	0.038	1
201904056	46.312138	7.328803	5.49	-2084.3	-1108.6	1200.6	166.8	270.1	308.4	2019	4	9	13	39	42.07	0.6	83	2	57	48	0.003	0.025	1
201905066	46.314799	7.33678	2.956	-1469.9	-812.8	-1333.3	17.5	16.1	29.7	2019	5	17	18	19	15.76	0.3	476	38	56	36	0.002	0.034	1
201907135	46.325798	7.379561	0.659	1824.8	409.8	-3629.9	56.5	85.6	268.5	2019	7	29	14	9	39.67	1.2	132	8	36	35	0.001	0.027	1
201908031	46.325167	7.36734	2.838	883.6	339.7	-1451.3	119.2	38	115.3	2019	8	7	14	21	0.42	0.2	372	73	57	21	0.003	0.035	1
201908089	46.326611	7.340322	3.89	-1197	500.2	-399.3	47.5	37.5	94.4	2019	8	21	3	25	57.03	1	449	17	131	106	0.002	0.046	1
201909162	46.329606	7.35133	4.136	-349.3	833.1	-152.7	25.5	14.7	39.8	2019	9	28	7	1	2.24	0.6	389	107	54	19	0.002	0.053	1
201910185	46.323201	7.354064	3.54	-138.7	121.2	-749.5	67.5	36.7	143.4	2019	10	24	8	5	30.04	0.2	454	2	40	59	0.002	0.027	1
201911007	46.313147	7.342944	3.495	-995.2	-996.4	-794.6	19.1	12.3	24.5	2019	11	1	15	51	38.22	0.6	571	3	61	42	0.002	0.034	1
201911039	46.322616	7.360776	4.147	378.2	56.1	-141.7	14.9	14.1	41.1	2019	11	5	0	54	21.36	3.3	260	459	205	196	0.004	0.057	1
201911040	46.323169	7.363931	4.461	621.2	117.6	172.3	12.8	11.6	25.9	2019	11	5	1	3	6.5	0.6	430	541	116	94	0.002	0.029	1
201911041	46.321912	7.357085	4.033	93.9	-22.2	-256.3	12.9	11.3	24.4	2019	11	5	1	6	27.21	0.8	780	943	110	95	0.003	0.03	1
201911042	46.321684	7.356161	4.209	22.8	-47.5	-80.4	13.1	11.3	23.5	2019	11	5	1	12	25.8	0.4	604	518	49	51	0.003	0.041	1
201911043	46.322009	7.359019	4.166	242.9	-11.3	-123.2	13.1	11	26.1	2019	11	5	1	33	3.03	0.8	453	608	109	93	0.003	0.037	1
201911044	46.323165	7.364029	4.475	628.7	117.1	185.4	12.7	11.6	25.5	2019	11	5	1	34	37.58	0.7	462	653	110	100	0.003	0.031	1
201911045	46.323735	7.360984	4.01	394.2	180.5	-279.5	12.9	11.6	25.4	2019	11	5	1	35	20.44	0.9	634	633	102	104	0.003	0.038	1
201911046	46.321903	7.355724	4.068	-10.9	-23.1	-220.9	12.9	11.3	23.9	2019	11	5	1	38	42.33	0.6	668	729	121	117	0.003	0.033	1
201911047	46.32417	7.363824	4.315	612.9	228.9	25.6	13.1	11.7	26	2019	11	5	1	43	30.18	1.4	646	891	124	106	0.003	0.035	1
201911048	46.32218	7.358827	4.08	228.1	7.7	-209.5	13.1	11.1	25.6	2019	11	5	1	56	7.69	0.5	447	450	129	146	0.002	0.038	1
201911049	46.323063	7.364078	4.502	632.5	105.8	213.2	12.9	12	28.2	2019	11	5	1	59	34.77	0.5	377	371	60	69	0.002	0.029	1
201911050	46.322091	7.359746	4.192	298.9	-2.3	-97	13.1	11.5	25.6	2019	11	5	2	7	53.94	0.7	437	470	94	107	0.003	0.029	1
201911051	46.32192	7.356909	3.949	80.3	-21.3	-340.5	13.3	11.5	24.3	2019	11	5	2	20	4.64	0.2	441	318	40	67	0.002	0.033	1
