ID;LAT;LON;DEP;X;Y;Z;EX;EY;EZ;YR;MO;DY;HR;MI;SC;MAG;NCCP;NCCS;NCTP;NCTS;RCC;RCT;CID;;;ID_old;Date;MW;CCC
1;0;0;0;211;225;166;9;11;6;2014;4;13;17;57;25;0.74;;;;;;;;;;2.01404E+13;13.04.14;1.33;0.88
2;0;0;0;185;231;142;9;14;6;2014;4;13;21;8;1;0.83;;;;;;;;;;2.01404E+13;13.04.14;1.39;1
3;0;0;0;243;164;173;10;14;6;2014;4;13;22;0;28;0.35;;;;;;;;;;2.01404E+13;13.04.14;1.07;0.84
4;0;0;0;170;219;124;10;14;6;2014;4;13;22;58;6;0.75;;;;;;;;;;2.01404E+13;13.04.14;1.33;0.97
5;0;0;0;196;166;134;10;16;6;2014;4;13;23;24;8;0.3;;;;;;;;;;2.01404E+13;13.04.14;1.03;0.93
6;0;0;0;226;172;163;9;14;6;2014;4;14;1;17;54;1.11;;;;;;;;;;2.01404E+13;14.04.14;1.57;0.93
7;0;0;0;210;258;183;15;16;6;2014;4;14;1;55;26;0.22;;;;;;;;;;2.01404E+13;14.04.14;0.98;0.92
8;0;0;0;199;275;182;10;14;6;2014;4;14;2;21;12;0.52;;;;;;;;;;2.01404E+13;14.04.14;1.18;0.93
9;0;0;0;212;228;170;10;14;6;2014;4;14;2;37;6;1.14;;;;;;;;;;2.01404E+13;14.04.14;1.59;0.93
10;0;0;0;207;259;182;10;14;6;2014;4;14;3;25;4;0.99;;;;;;;;;;2.01404E+13;14.04.14;1.5;0.94
11;0;0;0;168;242;134;9;14;6;2014;4;14;3;37;25;1.39;;;;;;;;;;2.01404E+13;14.04.14;1.76;0.9
12;0;0;0;206;193;151;10;16;6;2014;4;14;3;51;5;0.43;;;;;;;;;;2.01404E+13;14.04.14;1.12;0.9
13;0;0;0;280;99;171;13;18;6;2014;4;14;6;38;31;0.25;;;;;;;;;;2.01404E+13;14.04.14;1;0.85
14;0;0;0;248;103;154;10;16;6;2014;4;14;8;14;59;0.66;;;;;;;;;;2.01404E+13;14.04.14;1.27;0.85
15;0;0;0;243;126;166;9;11;6;2014;4;14;8;15;25;0.75;;;;;;;;;;2.01404E+13;14.04.14;1.33;0.88
16;0;0;0;266;208;191;15;16;6;2014;4;14;8;50;56;0.34;;;;;;;;;;2.01404E+13;14.04.14;1.06;0.86
17;0;0;0;275;113;188;9;14;6;2014;4;14;9;54;2;0.97;;;;;;;;;;2.01404E+13;14.04.14;1.48;0.85
